"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
2.85377e+06,2.78542e+06,36,2.06762e+06,1.85011e+06,64,-2339,6123,0,1892,29196,6596,0,333,-1484,981,0,-289,1333,0,0
3.55342e+06,2.93946e+06,35,3.28673e+06,2.95098e+06,66,290,11172,7,-1797,2854,786,0,334,8352,5912,0,878,2411,0,0
3.01864e+06,2.90417e+06,39,3.17019e+06,3.16187e+06,61,-3158,6108,0,-3057,648,188,0,336,2361,1941,0,666,942,0,0
2.59197e+06,2.47162e+06,35,2.21208e+06,2.17848e+06,72,-536,5087,0,7106,132,64,0,337,4205,2359,0,867,1570,0,0
2.48626e+06,2.4025e+06,32,4.31547e+06,4.18027e+06,58,7031,7686,0,3050,-167,0,0,341,5105,3650,0,1557,1278,0,0
2.85644e+06,2.68966e+06,39,2.13619e+06,2.08847e+06,62,7648,11956,6,1249,-190,0,0,343,10778,3700,0,3706,2072,0,0
2.32376e+06,2.22244e+06,32,3.44515e+06,3.55344e+06,49,5502,9598,0,-3695,-66,59,0,344,7581,2369,0,511,646,0,0
3.40505e+06,3.069e+06,40,5.09963e+06,4.81816e+06,65,8575,8950,0,5139,-186,43,0,345,7880,4148,0,4276,1774,0,0
2.51959e+06,2.40835e+06,33,3.31481e+06,3.3198e+06,50,-2928,5650,0,3866,-175,72,0,347,2605,2347,0,872,1497,0,0
2.70268e+06,2.6268e+06,35,3.68582e+06,3.60426e+06,63,-6322,3598,0,898,-67,50,0,352,3566,3055,0,2441,2034,0,0
2.80249e+06,2.5439e+06,35,3.49855e+06,3.27535e+06,60,12811,17528,18,4620,-15213,0,0,356,7804,4777,0,2723,2181,0,0
2.62805e+06,2.56354e+06,36,4.57246e+06,4.50308e+06,66,2490,7680,0,1551,-10062,0,0,357,3635,1999,0,2942,1746,0,0
2.54552e+06,2.48404e+06,36,3.06702e+06,3.0223e+06,64,1965,12904,8,-2619,-899,0,0,359,3451,2707,0,-1141,498,0,0
3.07639e+06,2.88014e+06,38,3.79268e+06,3.64604e+06,67,14248,9704,0,7185,15633,3322,0,360,8607,4092,0,766,1108,0,0
3.16676e+06,3.0623e+06,37,3.53637e+06,3.19473e+06,67,6087,6299,0,5086,10696,2296,0,361,4589,3060,0,3127,2316,0,0
2.40642e+06,2.33318e+06,32,3.46717e+06,3.25059e+06,61,5562,7919,0,-3557,187,102,0,363,4603,3359,0,621,1145,0,0
3.44854e+06,3.22264e+06,35,3.80207e+06,3.43669e+06,69,-9144,5638,0,625,-67,46,0,370,2279,2818,0,819,1950,0,0
3.39349e+06,3.11788e+06,39,2.77573e+06,2.66589e+06,66,11448,10079,1,2758,-191,8,0,372,13844,6120,0,2330,2230,0,0
2.92895e+06,2.87214e+06,37,3.14027e+06,3.0571e+06,62,20612,9444,0,5232,-2655,0,0,373,12116,4549,0,4122,2651,0,0
2.46629e+06,2.41134e+06,34,2.62066e+06,2.72586e+06,47,254,5995,0,6131,29463,6255,0,376,6032,3635,0,3787,1938,0,0
2.93189e+06,2.88792e+06,33,3.80424e+06,3.83557e+06,52,232,8197,0,1424,-258,2,0,383,-1174,1634,0,-335,1516,0,0
2.5621e+06,2.49275e+06,35,2.59643e+06,2.51501e+06,74,399,10591,3,1009,-169,29,0,385,-2030,1206,0,1392,1465,0,0
2.74818e+06,2.60438e+06,32,3.58714e+06,3.35556e+06,62,-4971,4822,0,6545,-11092,0,0,386,702,1602,0,957,1903,0,0
2.41039e+06,2.31186e+06,32,3.93356e+06,3.88372e+06,52,-6190,6518,0,-3391,-81,26,0,388,1431,3170,0,4668,2585,0,0
3.79485e+06,3.32602e+06,39,5.43094e+06,4.89583e+06,66,-10650,9187,0,1602,1004,312,0,389,5075,3945,0,2138,2411,0,0
2.57945e+06,2.52347e+06,34,2.87191e+06,2.85779e+06,54,-6170,6291,0,1037,-153,44,0,390,-1205,1202,0,1473,1360,0,0
2.77075e+06,2.71173e+06,35,2.5168e+06,2.44975e+06,58,2580,7616,0,-2728,-76,31,0,391,-869,2159,0,1708,1594,0,0
3.47328e+06,3.32632e+06,35,3.85496e+06,3.60505e+06,58,-3477,8207,0,-4137,-106,93,0,392,222,1895,0,3773,2252,0,0
